
[29/03/2022 15:14:43]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 35.0, ritmo cardiaco: 73, presión arterial: 162, dispositivo: 13781940
[29/03/2022 15:14:47]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 34.2, ritmo cardiaco: 107, presión arterial: 197, dispositivo: 13781940
[29/03/2022 15:14:50]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 33.6, ritmo cardiaco: 135, presión arterial: 171, dispositivo: 13781940
[29/03/2022 15:14:53]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 33.6, ritmo cardiaco: 89, presión arterial: 126, dispositivo: 13781940
[29/03/2022 15:14:56]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 38.8, ritmo cardiaco: 69, presión arterial: 181, dispositivo: 13781940
[29/03/2022 15:15:00]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 38.1, ritmo cardiaco: 117, presión arterial: 160, dispositivo: 13781940
[29/03/2022 15:15:03]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 34.0, ritmo cardiaco: 114, presión arterial: 133, dispositivo: 13781940
[29/03/2022 15:15:06]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 35.2, ritmo cardiaco: 123, presión arterial: 106, dispositivo: 13781940
[29/03/2022 15:15:09]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 33.6, ritmo cardiaco: 86, presión arterial: 192, dispositivo: 13781940
[29/03/2022 15:15:12]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 35.4, ritmo cardiaco: 126, presión arterial: 192, dispositivo: 13781940
[29/03/2022 15:15:16]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 36.4, ritmo cardiaco: 104, presión arterial: 164, dispositivo: 13781940
[29/03/2022 15:15:19]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 38.7, ritmo cardiaco: 81, presión arterial: 198, dispositivo: 13781940
[29/03/2022 15:15:22]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 35.0, ritmo cardiaco: 137, presión arterial: 143, dispositivo: 13781940
[29/03/2022 15:15:25]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 34.8, ritmo cardiaco: 111, presión arterial: 164, dispositivo: 13781940
[29/03/2022 15:15:29]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 37.4, ritmo cardiaco: 141, presión arterial: 148, dispositivo: 13781940
[29/03/2022 15:15:32]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 35.3, ritmo cardiaco: 139, presión arterial: 175, dispositivo: 13781940
[29/03/2022 15:15:35]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 37.4, ritmo cardiaco: 142, presión arterial: 100, dispositivo: 13781940
[29/03/2022 15:15:38]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 34.0, ritmo cardiaco: 112, presión arterial: 102, dispositivo: 13781940
[29/03/2022 15:15:41]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 33.6, ritmo cardiaco: 79, presión arterial: 140, dispositivo: 13781940
[29/03/2022 15:15:44]: Renee Taylor... ssn: 046-84-5751, edad: 66, temperatura: 36.9, ritmo cardiaco: 118, presión arterial: 191, dispositivo: 13781940
