
[29/03/2022 15:25:53]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 36.0, ritmo cardiaco: 108, presión arterial: 147, dispositivo: 68820435
[29/03/2022 15:25:56]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 37.3, ritmo cardiaco: 70, presión arterial: 118, dispositivo: 68820435
[29/03/2022 15:25:59]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 35.2, ritmo cardiaco: 145, presión arterial: 199, dispositivo: 68820435
[29/03/2022 15:26:02]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 33.7, ritmo cardiaco: 114, presión arterial: 137, dispositivo: 68820435
[29/03/2022 15:26:06]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 35.6, ritmo cardiaco: 84, presión arterial: 124, dispositivo: 68820435
[29/03/2022 15:26:09]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 35.2, ritmo cardiaco: 71, presión arterial: 198, dispositivo: 68820435
[29/03/2022 15:26:12]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 37.0, ritmo cardiaco: 96, presión arterial: 121, dispositivo: 68820435
[29/03/2022 15:26:16]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 34.3, ritmo cardiaco: 95, presión arterial: 186, dispositivo: 68820435
[29/03/2022 15:26:19]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 37.9, ritmo cardiaco: 128, presión arterial: 102, dispositivo: 68820435
[29/03/2022 15:26:22]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 34.6, ritmo cardiaco: 135, presión arterial: 189, dispositivo: 68820435
[29/03/2022 15:26:25]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 36.3, ritmo cardiaco: 119, presión arterial: 183, dispositivo: 68820435
[29/03/2022 15:26:29]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 36.3, ritmo cardiaco: 131, presión arterial: 128, dispositivo: 68820435
[29/03/2022 15:26:32]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 38.1, ritmo cardiaco: 118, presión arterial: 154, dispositivo: 68820435
[29/03/2022 15:26:35]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 36.8, ritmo cardiaco: 79, presión arterial: 128, dispositivo: 68820435
[29/03/2022 15:26:38]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 33.9, ritmo cardiaco: 62, presión arterial: 126, dispositivo: 68820435
[29/03/2022 15:26:42]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 37.6, ritmo cardiaco: 98, presión arterial: 118, dispositivo: 68820435
[29/03/2022 15:26:45]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 37.6, ritmo cardiaco: 82, presión arterial: 184, dispositivo: 68820435
[29/03/2022 15:26:48]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 36.8, ritmo cardiaco: 95, presión arterial: 129, dispositivo: 68820435
[29/03/2022 15:26:51]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 38.3, ritmo cardiaco: 104, presión arterial: 166, dispositivo: 68820435
[29/03/2022 15:26:55]: Stephanie Lawson... ssn: 076-04-0598, edad: 69, temperatura: 33.1, ritmo cardiaco: 109, presión arterial: 170, dispositivo: 68820435
