
[29/03/2022 15:18:51]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 33.6, ritmo cardiaco: 137, presión arterial: 139, dispositivo: 99064147
[29/03/2022 15:18:56]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 36.2, ritmo cardiaco: 127, presión arterial: 123, dispositivo: 99064147
[29/03/2022 15:19:00]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 36.1, ritmo cardiaco: 125, presión arterial: 136, dispositivo: 99064147
[29/03/2022 15:19:04]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 36.0, ritmo cardiaco: 95, presión arterial: 102, dispositivo: 99064147
[29/03/2022 15:19:08]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 37.7, ritmo cardiaco: 111, presión arterial: 156, dispositivo: 99064147
[29/03/2022 15:19:13]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 35.7, ritmo cardiaco: 139, presión arterial: 190, dispositivo: 99064147
[29/03/2022 15:19:17]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 33.3, ritmo cardiaco: 97, presión arterial: 200, dispositivo: 99064147
[29/03/2022 15:19:21]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 34.8, ritmo cardiaco: 141, presión arterial: 107, dispositivo: 99064147
[29/03/2022 15:19:26]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 35.6, ritmo cardiaco: 98, presión arterial: 193, dispositivo: 99064147
[29/03/2022 15:19:30]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 33.7, ritmo cardiaco: 73, presión arterial: 143, dispositivo: 99064147
[29/03/2022 15:19:35]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 38.4, ritmo cardiaco: 95, presión arterial: 155, dispositivo: 99064147
[29/03/2022 15:19:39]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 37.6, ritmo cardiaco: 86, presión arterial: 186, dispositivo: 99064147
[29/03/2022 15:19:43]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 37.6, ritmo cardiaco: 92, presión arterial: 192, dispositivo: 99064147
[29/03/2022 15:19:48]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 34.5, ritmo cardiaco: 98, presión arterial: 136, dispositivo: 99064147
[29/03/2022 15:19:52]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 34.4, ritmo cardiaco: 77, presión arterial: 188, dispositivo: 99064147
[29/03/2022 15:19:57]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 37.3, ritmo cardiaco: 94, presión arterial: 138, dispositivo: 99064147
[29/03/2022 15:20:01]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 38.3, ritmo cardiaco: 76, presión arterial: 158, dispositivo: 99064147
[29/03/2022 15:20:05]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 33.5, ritmo cardiaco: 63, presión arterial: 145, dispositivo: 99064147
[29/03/2022 15:20:10]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 35.6, ritmo cardiaco: 70, presión arterial: 184, dispositivo: 99064147
[29/03/2022 15:20:14]: Paul Smith... ssn: 194-67-1921, edad: 101, temperatura: 34.6, ritmo cardiaco: 135, presión arterial: 162, dispositivo: 99064147
