
[29/03/2022 15:29:49]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 36.9, ritmo cardiaco: 120, presión arterial: 137, dispositivo: 64348242
[29/03/2022 15:29:54]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 38.9, ritmo cardiaco: 108, presión arterial: 152, dispositivo: 64348242
[29/03/2022 15:29:59]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 33.5, ritmo cardiaco: 110, presión arterial: 116, dispositivo: 64348242
[29/03/2022 15:30:05]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 33.4, ritmo cardiaco: 126, presión arterial: 142, dispositivo: 64348242
[29/03/2022 15:30:10]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 33.9, ritmo cardiaco: 104, presión arterial: 125, dispositivo: 64348242
[29/03/2022 15:30:16]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 38.1, ritmo cardiaco: 102, presión arterial: 153, dispositivo: 64348242
[29/03/2022 15:30:21]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 38.4, ritmo cardiaco: 99, presión arterial: 111, dispositivo: 64348242
[29/03/2022 15:30:27]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 38.8, ritmo cardiaco: 140, presión arterial: 162, dispositivo: 64348242
[29/03/2022 15:30:32]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 36.6, ritmo cardiaco: 78, presión arterial: 127, dispositivo: 64348242
[29/03/2022 15:30:38]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 33.8, ritmo cardiaco: 60, presión arterial: 163, dispositivo: 64348242
[29/03/2022 15:30:43]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 34.8, ritmo cardiaco: 140, presión arterial: 177, dispositivo: 64348242
[29/03/2022 15:30:48]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 38.3, ritmo cardiaco: 62, presión arterial: 142, dispositivo: 64348242
[29/03/2022 15:30:54]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 33.7, ritmo cardiaco: 80, presión arterial: 198, dispositivo: 64348242
[29/03/2022 15:31:00]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 36.0, ritmo cardiaco: 66, presión arterial: 198, dispositivo: 64348242
[29/03/2022 15:31:05]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 35.2, ritmo cardiaco: 112, presión arterial: 110, dispositivo: 64348242
[29/03/2022 15:31:10]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 38.8, ritmo cardiaco: 113, presión arterial: 111, dispositivo: 64348242
[29/03/2022 15:31:16]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 34.3, ritmo cardiaco: 95, presión arterial: 192, dispositivo: 64348242
[29/03/2022 15:31:21]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 33.0, ritmo cardiaco: 65, presión arterial: 185, dispositivo: 64348242
[29/03/2022 15:31:26]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 38.1, ritmo cardiaco: 83, presión arterial: 192, dispositivo: 64348242
[29/03/2022 15:31:32]: Erica Harvey... ssn: 216-06-3039, edad: 96, temperatura: 34.6, ritmo cardiaco: 121, presión arterial: 150, dispositivo: 64348242
