
[29/03/2022 15:25:03]: Robert Miller... ssn: 222-70-0504, edad: 93, temperatura: 37.4, ritmo cardiaco: 91, presión arterial: 118, dispositivo: 68699531
[29/03/2022 15:25:06]: Robert Miller... ssn: 222-70-0504, edad: 93, temperatura: 33.4, ritmo cardiaco: 112, presión arterial: 193, dispositivo: 68699531
[29/03/2022 15:25:09]: Robert Miller... ssn: 222-70-0504, edad: 93, temperatura: 36.3, ritmo cardiaco: 97, presión arterial: 175, dispositivo: 68699531
[29/03/2022 15:25:13]: Robert Miller... ssn: 222-70-0504, edad: 93, temperatura: 36.7, ritmo cardiaco: 82, presión arterial: 120, dispositivo: 68699531
[29/03/2022 15:25:16]: Robert Miller... ssn: 222-70-0504, edad: 93, temperatura: 33.3, ritmo cardiaco: 120, presión arterial: 130, dispositivo: 68699531
[29/03/2022 15:25:19]: Robert Miller... ssn: 222-70-0504, edad: 93, temperatura: 33.8, ritmo cardiaco: 108, presión arterial: 113, dispositivo: 68699531
[29/03/2022 15:25:22]: Robert Miller... ssn: 222-70-0504, edad: 93, temperatura: 35.8, ritmo cardiaco: 145, presión arterial: 120, dispositivo: 68699531
[29/03/2022 15:25:26]: Robert Miller... ssn: 222-70-0504, edad: 93, temperatura: 35.1, ritmo cardiaco: 138, presión arterial: 128, dispositivo: 68699531
[29/03/2022 15:25:29]: Robert Miller... ssn: 222-70-0504, edad: 93, temperatura: 35.1, ritmo cardiaco: 106, presión arterial: 106, dispositivo: 68699531
[29/03/2022 15:25:32]: Robert Miller... ssn: 222-70-0504, edad: 93, temperatura: 34.8, ritmo cardiaco: 113, presión arterial: 111, dispositivo: 68699531
[29/03/2022 15:25:36]: Robert Miller... ssn: 222-70-0504, edad: 93, temperatura: 35.9, ritmo cardiaco: 144, presión arterial: 110, dispositivo: 68699531
[29/03/2022 15:25:39]: Robert Miller... ssn: 222-70-0504, edad: 93, temperatura: 35.4, ritmo cardiaco: 61, presión arterial: 125, dispositivo: 68699531
[29/03/2022 15:25:42]: Robert Miller... ssn: 222-70-0504, edad: 93, temperatura: 36.0, ritmo cardiaco: 120, presión arterial: 194, dispositivo: 68699531
[29/03/2022 15:25:46]: Robert Miller... ssn: 222-70-0504, edad: 93, temperatura: 37.9, ritmo cardiaco: 143, presión arterial: 110, dispositivo: 68699531
[29/03/2022 15:25:49]: Robert Miller... ssn: 222-70-0504, edad: 93, temperatura: 35.2, ritmo cardiaco: 125, presión arterial: 138, dispositivo: 68699531
