
[29/03/2022 15:13:34]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 36.3, ritmo cardiaco: 121, presión arterial: 147, dispositivo: 52836831
[29/03/2022 15:13:38]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 38.8, ritmo cardiaco: 94, presión arterial: 163, dispositivo: 52836831
[29/03/2022 15:13:40]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 33.0, ritmo cardiaco: 110, presión arterial: 120, dispositivo: 52836831
[29/03/2022 15:13:43]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 35.6, ritmo cardiaco: 108, presión arterial: 114, dispositivo: 52836831
[29/03/2022 15:13:45]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 38.1, ritmo cardiaco: 142, presión arterial: 193, dispositivo: 52836831
[29/03/2022 15:13:47]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 39.0, ritmo cardiaco: 78, presión arterial: 179, dispositivo: 52836831
[29/03/2022 15:13:49]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 38.3, ritmo cardiaco: 81, presión arterial: 134, dispositivo: 52836831
[29/03/2022 15:13:51]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 37.1, ritmo cardiaco: 73, presión arterial: 162, dispositivo: 52836831
[29/03/2022 15:13:53]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 38.7, ritmo cardiaco: 128, presión arterial: 141, dispositivo: 52836831
[29/03/2022 15:13:56]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 33.7, ritmo cardiaco: 113, presión arterial: 193, dispositivo: 52836831
[29/03/2022 15:13:58]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 35.6, ritmo cardiaco: 117, presión arterial: 182, dispositivo: 52836831
[29/03/2022 15:14:00]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 38.0, ritmo cardiaco: 144, presión arterial: 119, dispositivo: 52836831
[29/03/2022 15:14:02]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 37.6, ritmo cardiaco: 136, presión arterial: 119, dispositivo: 52836831
[29/03/2022 15:14:04]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 37.5, ritmo cardiaco: 143, presión arterial: 182, dispositivo: 52836831
[29/03/2022 15:14:06]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 35.8, ritmo cardiaco: 93, presión arterial: 178, dispositivo: 52836831
[29/03/2022 15:14:09]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 36.1, ritmo cardiaco: 80, presión arterial: 110, dispositivo: 52836831
[29/03/2022 15:14:11]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 38.8, ritmo cardiaco: 126, presión arterial: 176, dispositivo: 52836831
[29/03/2022 15:14:13]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 33.9, ritmo cardiaco: 96, presión arterial: 165, dispositivo: 52836831
[29/03/2022 15:14:15]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 35.2, ritmo cardiaco: 150, presión arterial: 133, dispositivo: 52836831
[29/03/2022 15:14:18]: Whitney Joseph... ssn: 277-76-1369, edad: 98, temperatura: 35.5, ritmo cardiaco: 89, presión arterial: 158, dispositivo: 52836831
