
[29/03/2022 15:14:42]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 36.3, ritmo cardiaco: 134, presión arterial: 174, dispositivo: 32618868
[29/03/2022 15:14:46]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 35.4, ritmo cardiaco: 105, presión arterial: 119, dispositivo: 32618868
[29/03/2022 15:14:49]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 34.8, ritmo cardiaco: 100, presión arterial: 147, dispositivo: 32618868
[29/03/2022 15:14:52]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 33.8, ritmo cardiaco: 104, presión arterial: 132, dispositivo: 32618868
[29/03/2022 15:14:55]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 34.5, ritmo cardiaco: 99, presión arterial: 110, dispositivo: 32618868
[29/03/2022 15:14:58]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 38.5, ritmo cardiaco: 114, presión arterial: 178, dispositivo: 32618868
[29/03/2022 15:15:02]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 37.6, ritmo cardiaco: 60, presión arterial: 136, dispositivo: 32618868
[29/03/2022 15:15:05]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 35.6, ritmo cardiaco: 126, presión arterial: 106, dispositivo: 32618868
[29/03/2022 15:15:08]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 34.8, ritmo cardiaco: 138, presión arterial: 106, dispositivo: 32618868
[29/03/2022 15:15:11]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 38.3, ritmo cardiaco: 82, presión arterial: 148, dispositivo: 32618868
[29/03/2022 15:15:15]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 38.2, ritmo cardiaco: 89, presión arterial: 123, dispositivo: 32618868
[29/03/2022 15:15:18]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 36.2, ritmo cardiaco: 76, presión arterial: 132, dispositivo: 32618868
[29/03/2022 15:15:21]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 33.5, ritmo cardiaco: 124, presión arterial: 194, dispositivo: 32618868
[29/03/2022 15:15:24]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 34.4, ritmo cardiaco: 72, presión arterial: 184, dispositivo: 32618868
[29/03/2022 15:15:27]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 33.3, ritmo cardiaco: 106, presión arterial: 152, dispositivo: 32618868
[29/03/2022 15:15:31]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 37.0, ritmo cardiaco: 92, presión arterial: 130, dispositivo: 32618868
[29/03/2022 15:15:34]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 33.1, ritmo cardiaco: 63, presión arterial: 145, dispositivo: 32618868
[29/03/2022 15:15:37]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 35.3, ritmo cardiaco: 83, presión arterial: 122, dispositivo: 32618868
[29/03/2022 15:15:40]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 37.1, ritmo cardiaco: 121, presión arterial: 142, dispositivo: 32618868
[29/03/2022 15:15:43]: Michael Tran... ssn: 305-89-6551, edad: 64, temperatura: 33.4, ritmo cardiaco: 101, presión arterial: 180, dispositivo: 32618868
