
[29/03/2022 15:25:04]: Steven Patrick... ssn: 371-81-7735, edad: 105, temperatura: 35.9, ritmo cardiaco: 101, presión arterial: 190, dispositivo: 14671011
[29/03/2022 15:25:07]: Steven Patrick... ssn: 371-81-7735, edad: 105, temperatura: 35.3, ritmo cardiaco: 110, presión arterial: 182, dispositivo: 14671011
[29/03/2022 15:25:10]: Steven Patrick... ssn: 371-81-7735, edad: 105, temperatura: 38.2, ritmo cardiaco: 106, presión arterial: 134, dispositivo: 14671011
[29/03/2022 15:25:14]: Steven Patrick... ssn: 371-81-7735, edad: 105, temperatura: 36.1, ritmo cardiaco: 123, presión arterial: 105, dispositivo: 14671011
[29/03/2022 15:25:17]: Steven Patrick... ssn: 371-81-7735, edad: 105, temperatura: 34.7, ritmo cardiaco: 61, presión arterial: 144, dispositivo: 14671011
[29/03/2022 15:25:20]: Steven Patrick... ssn: 371-81-7735, edad: 105, temperatura: 33.8, ritmo cardiaco: 135, presión arterial: 200, dispositivo: 14671011
[29/03/2022 15:25:23]: Steven Patrick... ssn: 371-81-7735, edad: 105, temperatura: 33.1, ritmo cardiaco: 62, presión arterial: 131, dispositivo: 14671011
[29/03/2022 15:25:27]: Steven Patrick... ssn: 371-81-7735, edad: 105, temperatura: 35.0, ritmo cardiaco: 143, presión arterial: 184, dispositivo: 14671011
[29/03/2022 15:25:30]: Steven Patrick... ssn: 371-81-7735, edad: 105, temperatura: 37.1, ritmo cardiaco: 91, presión arterial: 109, dispositivo: 14671011
[29/03/2022 15:25:33]: Steven Patrick... ssn: 371-81-7735, edad: 105, temperatura: 38.8, ritmo cardiaco: 70, presión arterial: 169, dispositivo: 14671011
[29/03/2022 15:25:37]: Steven Patrick... ssn: 371-81-7735, edad: 105, temperatura: 38.3, ritmo cardiaco: 63, presión arterial: 111, dispositivo: 14671011
[29/03/2022 15:25:40]: Steven Patrick... ssn: 371-81-7735, edad: 105, temperatura: 38.6, ritmo cardiaco: 99, presión arterial: 115, dispositivo: 14671011
[29/03/2022 15:25:43]: Steven Patrick... ssn: 371-81-7735, edad: 105, temperatura: 34.5, ritmo cardiaco: 150, presión arterial: 137, dispositivo: 14671011
[29/03/2022 15:25:47]: Steven Patrick... ssn: 371-81-7735, edad: 105, temperatura: 36.3, ritmo cardiaco: 98, presión arterial: 119, dispositivo: 14671011
[29/03/2022 15:25:50]: Steven Patrick... ssn: 371-81-7735, edad: 105, temperatura: 37.1, ritmo cardiaco: 102, presión arterial: 100, dispositivo: 14671011
