
[29/03/2022 15:38:33]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 36.5, ritmo cardiaco: 128, presión arterial: 162, dispositivo: 76050722
[29/03/2022 15:38:36]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 35.4, ritmo cardiaco: 131, presión arterial: 147, dispositivo: 76050722
[29/03/2022 15:38:39]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 33.4, ritmo cardiaco: 128, presión arterial: 103, dispositivo: 76050722
[29/03/2022 15:38:43]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 36.4, ritmo cardiaco: 142, presión arterial: 126, dispositivo: 76050722
[29/03/2022 15:38:46]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 35.7, ritmo cardiaco: 89, presión arterial: 105, dispositivo: 76050722
[29/03/2022 15:38:49]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 37.1, ritmo cardiaco: 79, presión arterial: 118, dispositivo: 76050722
[29/03/2022 15:38:53]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 34.8, ritmo cardiaco: 84, presión arterial: 106, dispositivo: 76050722
[29/03/2022 15:38:56]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 38.4, ritmo cardiaco: 91, presión arterial: 197, dispositivo: 76050722
[29/03/2022 15:38:59]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 34.1, ritmo cardiaco: 65, presión arterial: 173, dispositivo: 76050722
[29/03/2022 15:39:03]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 36.8, ritmo cardiaco: 119, presión arterial: 130, dispositivo: 76050722
[29/03/2022 15:39:06]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 38.8, ritmo cardiaco: 79, presión arterial: 121, dispositivo: 76050722
[29/03/2022 15:39:09]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 37.2, ritmo cardiaco: 75, presión arterial: 167, dispositivo: 76050722
[29/03/2022 15:39:12]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 33.4, ritmo cardiaco: 130, presión arterial: 130, dispositivo: 76050722
[29/03/2022 15:39:16]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 35.9, ritmo cardiaco: 65, presión arterial: 116, dispositivo: 76050722
[29/03/2022 15:39:19]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 36.9, ritmo cardiaco: 64, presión arterial: 143, dispositivo: 76050722
[29/03/2022 15:39:22]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 34.1, ritmo cardiaco: 83, presión arterial: 146, dispositivo: 76050722
[29/03/2022 15:39:26]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 38.1, ritmo cardiaco: 121, presión arterial: 150, dispositivo: 76050722
[29/03/2022 15:39:29]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 35.7, ritmo cardiaco: 147, presión arterial: 194, dispositivo: 76050722
[29/03/2022 15:39:32]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 37.0, ritmo cardiaco: 69, presión arterial: 139, dispositivo: 76050722
[29/03/2022 15:39:36]: Laura Harrell... ssn: 388-06-3313, edad: 100, temperatura: 34.2, ritmo cardiaco: 65, presión arterial: 114, dispositivo: 76050722
