
[24/03/2022 17:01:12]: Alan Chavez... ssn: 392-49-3117, edad: 67, temperatura: 37.7, ritmo cardiaco: 71, presión arterial: 119, dispositivo: 71508964
[24/03/2022 17:01:15]: Alan Chavez... ssn: 392-49-3117, edad: 67, temperatura: 34.7, ritmo cardiaco: 76, presión arterial: 195, dispositivo: 71508964
[24/03/2022 17:01:18]: Alan Chavez... ssn: 392-49-3117, edad: 67, temperatura: 34.9, ritmo cardiaco: 124, presión arterial: 110, dispositivo: 71508964
[24/03/2022 17:01:21]: Alan Chavez... ssn: 392-49-3117, edad: 67, temperatura: 33.3, ritmo cardiaco: 88, presión arterial: 177, dispositivo: 71508964
[24/03/2022 17:01:24]: Alan Chavez... ssn: 392-49-3117, edad: 67, temperatura: 37.7, ritmo cardiaco: 64, presión arterial: 153, dispositivo: 71508964
[24/03/2022 17:01:27]: Alan Chavez... ssn: 392-49-3117, edad: 67, temperatura: 35.7, ritmo cardiaco: 127, presión arterial: 172, dispositivo: 71508964
[24/03/2022 17:01:31]: Alan Chavez... ssn: 392-49-3117, edad: 67, temperatura: 36.4, ritmo cardiaco: 142, presión arterial: 165, dispositivo: 71508964
[24/03/2022 17:01:34]: Alan Chavez... ssn: 392-49-3117, edad: 67, temperatura: 38.7, ritmo cardiaco: 111, presión arterial: 145, dispositivo: 71508964
[24/03/2022 17:01:37]: Alan Chavez... ssn: 392-49-3117, edad: 67, temperatura: 38.4, ritmo cardiaco: 126, presión arterial: 179, dispositivo: 71508964
[24/03/2022 17:01:40]: Alan Chavez... ssn: 392-49-3117, edad: 67, temperatura: 37.4, ritmo cardiaco: 131, presión arterial: 114, dispositivo: 71508964
[24/03/2022 17:01:43]: Alan Chavez... ssn: 392-49-3117, edad: 67, temperatura: 36.6, ritmo cardiaco: 138, presión arterial: 174, dispositivo: 71508964
[24/03/2022 17:01:46]: Alan Chavez... ssn: 392-49-3117, edad: 67, temperatura: 33.7, ritmo cardiaco: 146, presión arterial: 162, dispositivo: 71508964
[24/03/2022 17:01:49]: Alan Chavez... ssn: 392-49-3117, edad: 67, temperatura: 33.4, ritmo cardiaco: 145, presión arterial: 178, dispositivo: 71508964
[24/03/2022 17:01:53]: Alan Chavez... ssn: 392-49-3117, edad: 67, temperatura: 38.5, ritmo cardiaco: 123, presión arterial: 188, dispositivo: 71508964
[24/03/2022 17:01:56]: Alan Chavez... ssn: 392-49-3117, edad: 67, temperatura: 33.8, ritmo cardiaco: 139, presión arterial: 194, dispositivo: 71508964
[24/03/2022 17:01:59]: Alan Chavez... ssn: 392-49-3117, edad: 67, temperatura: 34.9, ritmo cardiaco: 118, presión arterial: 190, dispositivo: 71508964
[24/03/2022 17:02:02]: Alan Chavez... ssn: 392-49-3117, edad: 67, temperatura: 34.8, ritmo cardiaco: 63, presión arterial: 174, dispositivo: 71508964
