
[16/03/2022 22:51:32]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 35.9, ritmo cardiaco: 111, presión arterial: 171, dispositivo: 77449477
[16/03/2022 22:51:37]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 34.5, ritmo cardiaco: 117, presión arterial: 165, dispositivo: 77449477
[16/03/2022 22:51:42]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 35.3, ritmo cardiaco: 136, presión arterial: 188, dispositivo: 77449477
[16/03/2022 22:51:48]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 38.1, ritmo cardiaco: 96, presión arterial: 165, dispositivo: 77449477
[16/03/2022 22:51:53]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 34.0, ritmo cardiaco: 88, presión arterial: 181, dispositivo: 77449477
[16/03/2022 22:51:58]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 35.3, ritmo cardiaco: 141, presión arterial: 151, dispositivo: 77449477
[16/03/2022 22:52:04]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 36.7, ritmo cardiaco: 101, presión arterial: 128, dispositivo: 77449477
[16/03/2022 22:52:09]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 37.6, ritmo cardiaco: 62, presión arterial: 112, dispositivo: 77449477
[16/03/2022 22:52:14]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 34.1, ritmo cardiaco: 84, presión arterial: 108, dispositivo: 77449477
[16/03/2022 22:52:20]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 37.6, ritmo cardiaco: 140, presión arterial: 142, dispositivo: 77449477
[16/03/2022 22:52:25]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 34.8, ritmo cardiaco: 69, presión arterial: 117, dispositivo: 77449477
[16/03/2022 22:52:30]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 33.9, ritmo cardiaco: 106, presión arterial: 102, dispositivo: 77449477
[16/03/2022 22:52:36]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 33.8, ritmo cardiaco: 117, presión arterial: 189, dispositivo: 77449477
[16/03/2022 22:52:41]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 33.5, ritmo cardiaco: 124, presión arterial: 175, dispositivo: 77449477
[16/03/2022 22:52:46]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 34.1, ritmo cardiaco: 130, presión arterial: 132, dispositivo: 77449477
[16/03/2022 22:52:51]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 34.4, ritmo cardiaco: 81, presión arterial: 174, dispositivo: 77449477
[16/03/2022 22:52:57]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 36.0, ritmo cardiaco: 117, presión arterial: 165, dispositivo: 77449477
[16/03/2022 22:53:02]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 35.8, ritmo cardiaco: 114, presión arterial: 140, dispositivo: 77449477
[16/03/2022 22:53:07]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 34.2, ritmo cardiaco: 79, presión arterial: 199, dispositivo: 77449477
[16/03/2022 22:53:13]: Jeremy Zuniga... ssn: 403-79-6210, edad: 103, temperatura: 35.6, ritmo cardiaco: 60, presión arterial: 185, dispositivo: 77449477
