
[29/03/2022 15:25:01]: Jessica Stone... ssn: 436-72-8032, edad: 95, temperatura: 35.9, ritmo cardiaco: 87, presión arterial: 134, dispositivo: 56855479
[29/03/2022 15:25:05]: Jessica Stone... ssn: 436-72-8032, edad: 95, temperatura: 35.9, ritmo cardiaco: 86, presión arterial: 169, dispositivo: 56855479
[29/03/2022 15:25:08]: Jessica Stone... ssn: 436-72-8032, edad: 95, temperatura: 37.5, ritmo cardiaco: 125, presión arterial: 102, dispositivo: 56855479
[29/03/2022 15:25:12]: Jessica Stone... ssn: 436-72-8032, edad: 95, temperatura: 34.9, ritmo cardiaco: 137, presión arterial: 131, dispositivo: 56855479
[29/03/2022 15:25:15]: Jessica Stone... ssn: 436-72-8032, edad: 95, temperatura: 36.1, ritmo cardiaco: 136, presión arterial: 119, dispositivo: 56855479
[29/03/2022 15:25:18]: Jessica Stone... ssn: 436-72-8032, edad: 95, temperatura: 37.1, ritmo cardiaco: 92, presión arterial: 142, dispositivo: 56855479
[29/03/2022 15:25:21]: Jessica Stone... ssn: 436-72-8032, edad: 95, temperatura: 38.4, ritmo cardiaco: 69, presión arterial: 117, dispositivo: 56855479
[29/03/2022 15:25:25]: Jessica Stone... ssn: 436-72-8032, edad: 95, temperatura: 34.1, ritmo cardiaco: 81, presión arterial: 102, dispositivo: 56855479
[29/03/2022 15:25:28]: Jessica Stone... ssn: 436-72-8032, edad: 95, temperatura: 36.1, ritmo cardiaco: 97, presión arterial: 174, dispositivo: 56855479
[29/03/2022 15:25:31]: Jessica Stone... ssn: 436-72-8032, edad: 95, temperatura: 37.5, ritmo cardiaco: 127, presión arterial: 199, dispositivo: 56855479
[29/03/2022 15:25:34]: Jessica Stone... ssn: 436-72-8032, edad: 95, temperatura: 37.3, ritmo cardiaco: 146, presión arterial: 191, dispositivo: 56855479
[29/03/2022 15:25:38]: Jessica Stone... ssn: 436-72-8032, edad: 95, temperatura: 35.4, ritmo cardiaco: 123, presión arterial: 196, dispositivo: 56855479
[29/03/2022 15:25:41]: Jessica Stone... ssn: 436-72-8032, edad: 95, temperatura: 35.0, ritmo cardiaco: 64, presión arterial: 200, dispositivo: 56855479
[29/03/2022 15:25:44]: Jessica Stone... ssn: 436-72-8032, edad: 95, temperatura: 35.9, ritmo cardiaco: 82, presión arterial: 177, dispositivo: 56855479
[29/03/2022 15:25:48]: Jessica Stone... ssn: 436-72-8032, edad: 95, temperatura: 33.7, ritmo cardiaco: 109, presión arterial: 171, dispositivo: 56855479
[29/03/2022 15:25:51]: Jessica Stone... ssn: 436-72-8032, edad: 95, temperatura: 35.8, ritmo cardiaco: 138, presión arterial: 189, dispositivo: 56855479
