
[29/03/2022 15:18:49]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 35.0, ritmo cardiaco: 92, presión arterial: 200, dispositivo: 97246224
[29/03/2022 15:18:54]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 37.1, ritmo cardiaco: 65, presión arterial: 198, dispositivo: 97246224
[29/03/2022 15:18:58]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 33.2, ritmo cardiaco: 137, presión arterial: 143, dispositivo: 97246224
[29/03/2022 15:19:02]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 37.5, ritmo cardiaco: 68, presión arterial: 187, dispositivo: 97246224
[29/03/2022 15:19:06]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 38.9, ritmo cardiaco: 125, presión arterial: 172, dispositivo: 97246224
[29/03/2022 15:19:10]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 36.5, ritmo cardiaco: 133, presión arterial: 196, dispositivo: 97246224
[29/03/2022 15:19:15]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 37.6, ritmo cardiaco: 113, presión arterial: 104, dispositivo: 97246224
[29/03/2022 15:19:19]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 33.1, ritmo cardiaco: 94, presión arterial: 117, dispositivo: 97246224
[29/03/2022 15:19:24]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 35.9, ritmo cardiaco: 89, presión arterial: 105, dispositivo: 97246224
[29/03/2022 15:19:28]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 38.7, ritmo cardiaco: 65, presión arterial: 172, dispositivo: 97246224
[29/03/2022 15:19:32]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 34.0, ritmo cardiaco: 123, presión arterial: 186, dispositivo: 97246224
[29/03/2022 15:19:37]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 37.7, ritmo cardiaco: 60, presión arterial: 133, dispositivo: 97246224
[29/03/2022 15:19:41]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 38.9, ritmo cardiaco: 140, presión arterial: 114, dispositivo: 97246224
[29/03/2022 15:19:46]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 33.6, ritmo cardiaco: 71, presión arterial: 108, dispositivo: 97246224
[29/03/2022 15:19:50]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 33.1, ritmo cardiaco: 71, presión arterial: 104, dispositivo: 97246224
[29/03/2022 15:19:54]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 35.0, ritmo cardiaco: 88, presión arterial: 155, dispositivo: 97246224
[29/03/2022 15:19:59]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 35.1, ritmo cardiaco: 124, presión arterial: 156, dispositivo: 97246224
[29/03/2022 15:20:03]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 35.9, ritmo cardiaco: 67, presión arterial: 154, dispositivo: 97246224
[29/03/2022 15:20:08]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 35.5, ritmo cardiaco: 131, presión arterial: 160, dispositivo: 97246224
[29/03/2022 15:20:12]: Stacey Maxwell... ssn: 446-75-8081, edad: 91, temperatura: 37.7, ritmo cardiaco: 124, presión arterial: 122, dispositivo: 97246224
