
[29/03/2022 15:29:46]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 37.0, ritmo cardiaco: 150, presión arterial: 178, dispositivo: 14631260
[29/03/2022 15:29:52]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 33.3, ritmo cardiaco: 103, presión arterial: 115, dispositivo: 14631260
[29/03/2022 15:29:57]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 34.2, ritmo cardiaco: 135, presión arterial: 109, dispositivo: 14631260
[29/03/2022 15:30:03]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 37.0, ritmo cardiaco: 67, presión arterial: 153, dispositivo: 14631260
[29/03/2022 15:30:08]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 38.0, ritmo cardiaco: 146, presión arterial: 176, dispositivo: 14631260
[29/03/2022 15:30:13]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 35.1, ritmo cardiaco: 126, presión arterial: 101, dispositivo: 14631260
[29/03/2022 15:30:19]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 38.0, ritmo cardiaco: 63, presión arterial: 169, dispositivo: 14631260
[29/03/2022 15:30:24]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 34.8, ritmo cardiaco: 60, presión arterial: 192, dispositivo: 14631260
[29/03/2022 15:30:30]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 37.8, ritmo cardiaco: 60, presión arterial: 165, dispositivo: 14631260
[29/03/2022 15:30:35]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 35.1, ritmo cardiaco: 93, presión arterial: 131, dispositivo: 14631260
[29/03/2022 15:30:41]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 38.6, ritmo cardiaco: 73, presión arterial: 148, dispositivo: 14631260
[29/03/2022 15:30:46]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 38.0, ritmo cardiaco: 89, presión arterial: 101, dispositivo: 14631260
[29/03/2022 15:30:52]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 38.6, ritmo cardiaco: 135, presión arterial: 107, dispositivo: 14631260
[29/03/2022 15:30:57]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 34.3, ritmo cardiaco: 133, presión arterial: 162, dispositivo: 14631260
[29/03/2022 15:31:03]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 37.5, ritmo cardiaco: 130, presión arterial: 107, dispositivo: 14631260
[29/03/2022 15:31:08]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 35.6, ritmo cardiaco: 100, presión arterial: 105, dispositivo: 14631260
[29/03/2022 15:31:14]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 38.4, ritmo cardiaco: 91, presión arterial: 198, dispositivo: 14631260
[29/03/2022 15:31:19]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 37.6, ritmo cardiaco: 126, presión arterial: 114, dispositivo: 14631260
[29/03/2022 15:31:24]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 35.8, ritmo cardiaco: 61, presión arterial: 162, dispositivo: 14631260
[29/03/2022 15:31:30]: Curtis Hernandez... ssn: 510-23-4694, edad: 85, temperatura: 36.2, ritmo cardiaco: 68, presión arterial: 169, dispositivo: 14631260
