
[29/03/2022 15:34:52]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 38.4, ritmo cardiaco: 96, presión arterial: 127, dispositivo: 28657701
[29/03/2022 15:34:53]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 35.9, ritmo cardiaco: 91, presión arterial: 175, dispositivo: 28657701
[29/03/2022 15:34:54]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 33.3, ritmo cardiaco: 71, presión arterial: 112, dispositivo: 28657701
[29/03/2022 15:34:55]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 38.0, ritmo cardiaco: 128, presión arterial: 181, dispositivo: 28657701
[29/03/2022 15:34:57]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 36.5, ritmo cardiaco: 89, presión arterial: 129, dispositivo: 28657701
[29/03/2022 15:34:58]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 34.1, ritmo cardiaco: 125, presión arterial: 117, dispositivo: 28657701
[29/03/2022 15:34:59]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 35.9, ritmo cardiaco: 119, presión arterial: 106, dispositivo: 28657701
[29/03/2022 15:35:00]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 35.0, ritmo cardiaco: 142, presión arterial: 100, dispositivo: 28657701
[29/03/2022 15:35:01]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 36.9, ritmo cardiaco: 144, presión arterial: 122, dispositivo: 28657701
[29/03/2022 15:35:02]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 35.8, ritmo cardiaco: 142, presión arterial: 147, dispositivo: 28657701
[29/03/2022 15:35:03]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 35.1, ritmo cardiaco: 100, presión arterial: 147, dispositivo: 28657701
[29/03/2022 15:35:04]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 38.4, ritmo cardiaco: 72, presión arterial: 160, dispositivo: 28657701
[29/03/2022 15:35:05]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 37.6, ritmo cardiaco: 104, presión arterial: 135, dispositivo: 28657701
[29/03/2022 15:35:06]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 34.1, ritmo cardiaco: 147, presión arterial: 171, dispositivo: 28657701
[29/03/2022 15:35:07]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 35.6, ritmo cardiaco: 96, presión arterial: 195, dispositivo: 28657701
[29/03/2022 15:35:08]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 34.4, ritmo cardiaco: 90, presión arterial: 167, dispositivo: 28657701
[29/03/2022 15:35:10]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 35.6, ritmo cardiaco: 134, presión arterial: 185, dispositivo: 28657701
[29/03/2022 15:35:11]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 36.5, ritmo cardiaco: 103, presión arterial: 187, dispositivo: 28657701
[29/03/2022 15:35:12]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 34.8, ritmo cardiaco: 77, presión arterial: 148, dispositivo: 28657701
[29/03/2022 15:35:13]: Sheila Moore... ssn: 551-68-2759, edad: 114, temperatura: 37.7, ritmo cardiaco: 114, presión arterial: 152, dispositivo: 28657701
