
[16/03/2022 22:51:36]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 33.9, ritmo cardiaco: 101, presión arterial: 139, dispositivo: 64482171
[16/03/2022 22:51:41]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 34.3, ritmo cardiaco: 137, presión arterial: 176, dispositivo: 64482171
[16/03/2022 22:51:47]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 36.1, ritmo cardiaco: 63, presión arterial: 107, dispositivo: 64482171
[16/03/2022 22:51:52]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 37.0, ritmo cardiaco: 95, presión arterial: 142, dispositivo: 64482171
[16/03/2022 22:51:57]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 37.5, ritmo cardiaco: 74, presión arterial: 123, dispositivo: 64482171
[16/03/2022 22:52:03]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 38.7, ritmo cardiaco: 92, presión arterial: 140, dispositivo: 64482171
[16/03/2022 22:52:08]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 33.3, ritmo cardiaco: 125, presión arterial: 183, dispositivo: 64482171
[16/03/2022 22:52:13]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 38.1, ritmo cardiaco: 128, presión arterial: 122, dispositivo: 64482171
[16/03/2022 22:52:19]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 37.5, ritmo cardiaco: 87, presión arterial: 121, dispositivo: 64482171
[16/03/2022 22:52:24]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 36.5, ritmo cardiaco: 87, presión arterial: 150, dispositivo: 64482171
[16/03/2022 22:52:29]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 33.7, ritmo cardiaco: 89, presión arterial: 182, dispositivo: 64482171
[16/03/2022 22:52:35]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 33.9, ritmo cardiaco: 109, presión arterial: 116, dispositivo: 64482171
[16/03/2022 22:52:40]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 35.4, ritmo cardiaco: 62, presión arterial: 144, dispositivo: 64482171
[16/03/2022 22:52:45]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 36.6, ritmo cardiaco: 136, presión arterial: 194, dispositivo: 64482171
[16/03/2022 22:52:50]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 37.8, ritmo cardiaco: 118, presión arterial: 165, dispositivo: 64482171
[16/03/2022 22:52:56]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 35.8, ritmo cardiaco: 121, presión arterial: 115, dispositivo: 64482171
[16/03/2022 22:53:01]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 36.7, ritmo cardiaco: 133, presión arterial: 142, dispositivo: 64482171
[16/03/2022 22:53:06]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 33.4, ritmo cardiaco: 107, presión arterial: 121, dispositivo: 64482171
[16/03/2022 22:53:12]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 37.3, ritmo cardiaco: 71, presión arterial: 137, dispositivo: 64482171
[16/03/2022 22:53:17]: David Vaughan... ssn: 572-90-4589, edad: 117, temperatura: 36.6, ritmo cardiaco: 135, presión arterial: 160, dispositivo: 64482171
