
[29/03/2022 15:13:37]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 33.5, ritmo cardiaco: 93, presión arterial: 168, dispositivo: 94752093
[29/03/2022 15:13:39]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 34.6, ritmo cardiaco: 133, presión arterial: 140, dispositivo: 94752093
[29/03/2022 15:13:41]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 35.0, ritmo cardiaco: 60, presión arterial: 136, dispositivo: 94752093
[29/03/2022 15:13:44]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 36.8, ritmo cardiaco: 130, presión arterial: 107, dispositivo: 94752093
[29/03/2022 15:13:46]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 33.1, ritmo cardiaco: 90, presión arterial: 179, dispositivo: 94752093
[29/03/2022 15:13:48]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 35.7, ritmo cardiaco: 140, presión arterial: 111, dispositivo: 94752093
[29/03/2022 15:13:50]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 36.3, ritmo cardiaco: 147, presión arterial: 163, dispositivo: 94752093
[29/03/2022 15:13:52]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 34.3, ritmo cardiaco: 87, presión arterial: 172, dispositivo: 94752093
[29/03/2022 15:13:55]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 36.1, ritmo cardiaco: 141, presión arterial: 118, dispositivo: 94752093
[29/03/2022 15:13:57]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 37.8, ritmo cardiaco: 64, presión arterial: 171, dispositivo: 94752093
[29/03/2022 15:13:59]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 35.7, ritmo cardiaco: 129, presión arterial: 200, dispositivo: 94752093
[29/03/2022 15:14:01]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 34.3, ritmo cardiaco: 99, presión arterial: 155, dispositivo: 94752093
[29/03/2022 15:14:03]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 36.2, ritmo cardiaco: 112, presión arterial: 188, dispositivo: 94752093
[29/03/2022 15:14:05]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 38.5, ritmo cardiaco: 132, presión arterial: 178, dispositivo: 94752093
[29/03/2022 15:14:08]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 33.7, ritmo cardiaco: 137, presión arterial: 113, dispositivo: 94752093
[29/03/2022 15:14:10]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 34.9, ritmo cardiaco: 85, presión arterial: 162, dispositivo: 94752093
[29/03/2022 15:14:12]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 36.2, ritmo cardiaco: 99, presión arterial: 122, dispositivo: 94752093
[29/03/2022 15:14:14]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 35.4, ritmo cardiaco: 105, presión arterial: 128, dispositivo: 94752093
[29/03/2022 15:14:16]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 37.3, ritmo cardiaco: 81, presión arterial: 137, dispositivo: 94752093
[29/03/2022 15:14:19]: Kenneth Hull... ssn: 574-16-9735, edad: 87, temperatura: 35.8, ritmo cardiaco: 147, presión arterial: 189, dispositivo: 94752093
