
[29/03/2022 15:38:34]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 34.9, ritmo cardiaco: 139, presión arterial: 190, dispositivo: 81760146
[29/03/2022 15:38:37]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 34.3, ritmo cardiaco: 120, presión arterial: 192, dispositivo: 81760146
[29/03/2022 15:38:41]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 35.2, ritmo cardiaco: 82, presión arterial: 136, dispositivo: 81760146
[29/03/2022 15:38:44]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 36.1, ritmo cardiaco: 85, presión arterial: 178, dispositivo: 81760146
[29/03/2022 15:38:47]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 33.3, ritmo cardiaco: 61, presión arterial: 143, dispositivo: 81760146
[29/03/2022 15:38:50]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 37.7, ritmo cardiaco: 82, presión arterial: 149, dispositivo: 81760146
[29/03/2022 15:38:54]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 35.3, ritmo cardiaco: 139, presión arterial: 174, dispositivo: 81760146
[29/03/2022 15:38:57]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 37.0, ritmo cardiaco: 128, presión arterial: 188, dispositivo: 81760146
[29/03/2022 15:39:00]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 33.3, ritmo cardiaco: 110, presión arterial: 148, dispositivo: 81760146
[29/03/2022 15:39:04]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 34.3, ritmo cardiaco: 146, presión arterial: 108, dispositivo: 81760146
[29/03/2022 15:39:07]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 39.0, ritmo cardiaco: 64, presión arterial: 128, dispositivo: 81760146
[29/03/2022 15:39:10]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 38.4, ritmo cardiaco: 108, presión arterial: 158, dispositivo: 81760146
[29/03/2022 15:39:14]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 38.6, ritmo cardiaco: 122, presión arterial: 169, dispositivo: 81760146
[29/03/2022 15:39:17]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 34.9, ritmo cardiaco: 147, presión arterial: 114, dispositivo: 81760146
[29/03/2022 15:39:20]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 35.6, ritmo cardiaco: 97, presión arterial: 141, dispositivo: 81760146
[29/03/2022 15:39:23]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 33.4, ritmo cardiaco: 114, presión arterial: 191, dispositivo: 81760146
[29/03/2022 15:39:27]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 33.1, ritmo cardiaco: 77, presión arterial: 164, dispositivo: 81760146
[29/03/2022 15:39:30]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 34.8, ritmo cardiaco: 75, presión arterial: 111, dispositivo: 81760146
[29/03/2022 15:39:33]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 33.7, ritmo cardiaco: 116, presión arterial: 101, dispositivo: 81760146
[29/03/2022 15:39:37]: Steven Murphy... ssn: 574-62-7816, edad: 106, temperatura: 33.2, ritmo cardiaco: 65, presión arterial: 174, dispositivo: 81760146
