
[16/03/2022 22:51:35]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 34.9, ritmo cardiaco: 96, presión arterial: 127, dispositivo: 58934186
[16/03/2022 22:51:40]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 33.5, ritmo cardiaco: 107, presión arterial: 160, dispositivo: 58934186
[16/03/2022 22:51:46]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 35.2, ritmo cardiaco: 85, presión arterial: 159, dispositivo: 58934186
[16/03/2022 22:51:51]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 37.6, ritmo cardiaco: 90, presión arterial: 189, dispositivo: 58934186
[16/03/2022 22:51:56]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 39.0, ritmo cardiaco: 104, presión arterial: 167, dispositivo: 58934186
[16/03/2022 22:52:02]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 36.7, ritmo cardiaco: 87, presión arterial: 131, dispositivo: 58934186
[16/03/2022 22:52:07]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 35.1, ritmo cardiaco: 75, presión arterial: 147, dispositivo: 58934186
[16/03/2022 22:52:12]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 38.4, ritmo cardiaco: 101, presión arterial: 164, dispositivo: 58934186
[16/03/2022 22:52:18]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 34.6, ritmo cardiaco: 144, presión arterial: 175, dispositivo: 58934186
[16/03/2022 22:52:23]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 34.4, ritmo cardiaco: 104, presión arterial: 189, dispositivo: 58934186
[16/03/2022 22:52:28]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 33.9, ritmo cardiaco: 135, presión arterial: 164, dispositivo: 58934186
[16/03/2022 22:52:34]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 37.8, ritmo cardiaco: 105, presión arterial: 108, dispositivo: 58934186
[16/03/2022 22:52:39]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 34.2, ritmo cardiaco: 149, presión arterial: 196, dispositivo: 58934186
[16/03/2022 22:52:44]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 37.8, ritmo cardiaco: 90, presión arterial: 156, dispositivo: 58934186
[16/03/2022 22:52:49]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 34.6, ritmo cardiaco: 120, presión arterial: 164, dispositivo: 58934186
[16/03/2022 22:52:55]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 37.7, ritmo cardiaco: 78, presión arterial: 105, dispositivo: 58934186
[16/03/2022 22:53:00]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 34.6, ritmo cardiaco: 110, presión arterial: 175, dispositivo: 58934186
[16/03/2022 22:53:05]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 35.4, ritmo cardiaco: 99, presión arterial: 185, dispositivo: 58934186
[16/03/2022 22:53:11]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 35.9, ritmo cardiaco: 101, presión arterial: 155, dispositivo: 58934186
[16/03/2022 22:53:16]: Allen Reed... ssn: 637-02-3893, edad: 81, temperatura: 33.1, ritmo cardiaco: 98, presión arterial: 168, dispositivo: 58934186
