
[29/03/2022 15:29:48]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 34.6, ritmo cardiaco: 82, presión arterial: 161, dispositivo: 41747532
[29/03/2022 15:29:53]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 35.1, ritmo cardiaco: 94, presión arterial: 197, dispositivo: 41747532
[29/03/2022 15:29:58]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 37.8, ritmo cardiaco: 121, presión arterial: 115, dispositivo: 41747532
[29/03/2022 15:30:04]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 33.6, ritmo cardiaco: 110, presión arterial: 191, dispositivo: 41747532
[29/03/2022 15:30:09]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 38.5, ritmo cardiaco: 101, presión arterial: 142, dispositivo: 41747532
[29/03/2022 15:30:14]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 38.0, ritmo cardiaco: 144, presión arterial: 119, dispositivo: 41747532
[29/03/2022 15:30:20]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 35.9, ritmo cardiaco: 103, presión arterial: 184, dispositivo: 41747532
[29/03/2022 15:30:25]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 35.8, ritmo cardiaco: 145, presión arterial: 140, dispositivo: 41747532
[29/03/2022 15:30:31]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 35.2, ritmo cardiaco: 142, presión arterial: 124, dispositivo: 41747532
[29/03/2022 15:30:36]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 35.3, ritmo cardiaco: 107, presión arterial: 196, dispositivo: 41747532
[29/03/2022 15:30:42]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 37.6, ritmo cardiaco: 133, presión arterial: 164, dispositivo: 41747532
[29/03/2022 15:30:47]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 38.8, ritmo cardiaco: 111, presión arterial: 183, dispositivo: 41747532
[29/03/2022 15:30:53]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 37.7, ritmo cardiaco: 65, presión arterial: 103, dispositivo: 41747532
[29/03/2022 15:30:58]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 35.8, ritmo cardiaco: 126, presión arterial: 151, dispositivo: 41747532
[29/03/2022 15:31:04]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 34.7, ritmo cardiaco: 145, presión arterial: 183, dispositivo: 41747532
[29/03/2022 15:31:09]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 38.7, ritmo cardiaco: 94, presión arterial: 100, dispositivo: 41747532
[29/03/2022 15:31:15]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 35.2, ritmo cardiaco: 107, presión arterial: 116, dispositivo: 41747532
[29/03/2022 15:31:20]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 36.1, ritmo cardiaco: 72, presión arterial: 187, dispositivo: 41747532
[29/03/2022 15:31:25]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 35.4, ritmo cardiaco: 78, presión arterial: 178, dispositivo: 41747532
[29/03/2022 15:31:31]: Teresa Floyd... ssn: 679-70-8012, edad: 107, temperatura: 37.1, ritmo cardiaco: 135, presión arterial: 134, dispositivo: 41747532
