
[29/03/2022 15:29:51]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 35.7, ritmo cardiaco: 126, presión arterial: 155, dispositivo: 22123390
[29/03/2022 15:29:56]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 33.2, ritmo cardiaco: 67, presión arterial: 200, dispositivo: 22123390
[29/03/2022 15:30:02]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 35.1, ritmo cardiaco: 72, presión arterial: 156, dispositivo: 22123390
[29/03/2022 15:30:07]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 36.1, ritmo cardiaco: 75, presión arterial: 133, dispositivo: 22123390
[29/03/2022 15:30:12]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 37.4, ritmo cardiaco: 129, presión arterial: 132, dispositivo: 22123390
[29/03/2022 15:30:18]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 33.3, ritmo cardiaco: 80, presión arterial: 117, dispositivo: 22123390
[29/03/2022 15:30:23]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 38.6, ritmo cardiaco: 82, presión arterial: 184, dispositivo: 22123390
[29/03/2022 15:30:29]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 37.5, ritmo cardiaco: 68, presión arterial: 158, dispositivo: 22123390
[29/03/2022 15:30:34]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 33.4, ritmo cardiaco: 126, presión arterial: 178, dispositivo: 22123390
[29/03/2022 15:30:40]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 38.7, ritmo cardiaco: 64, presión arterial: 123, dispositivo: 22123390
[29/03/2022 15:30:45]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 34.8, ritmo cardiaco: 142, presión arterial: 110, dispositivo: 22123390
[29/03/2022 15:30:51]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 38.8, ritmo cardiaco: 64, presión arterial: 146, dispositivo: 22123390
[29/03/2022 15:30:56]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 33.1, ritmo cardiaco: 149, presión arterial: 133, dispositivo: 22123390
[29/03/2022 15:31:02]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 37.2, ritmo cardiaco: 74, presión arterial: 194, dispositivo: 22123390
[29/03/2022 15:31:07]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 36.6, ritmo cardiaco: 69, presión arterial: 190, dispositivo: 22123390
[29/03/2022 15:31:13]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 38.1, ritmo cardiaco: 67, presión arterial: 194, dispositivo: 22123390
[29/03/2022 15:31:18]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 34.4, ritmo cardiaco: 96, presión arterial: 119, dispositivo: 22123390
[29/03/2022 15:31:23]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 33.1, ritmo cardiaco: 106, presión arterial: 101, dispositivo: 22123390
[29/03/2022 15:31:29]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 34.9, ritmo cardiaco: 81, presión arterial: 127, dispositivo: 22123390
[29/03/2022 15:31:34]: Jordan Vargas... ssn: 707-58-7272, edad: 119, temperatura: 37.3, ritmo cardiaco: 61, presión arterial: 112, dispositivo: 22123390
