
[24/03/2022 17:01:09]: Joshua Davis... ssn: 857-90-7947, edad: 80, temperatura: 34.9, ritmo cardiaco: 138, presión arterial: 195, dispositivo: 87333549
[24/03/2022 17:01:13]: Joshua Davis... ssn: 857-90-7947, edad: 80, temperatura: 33.0, ritmo cardiaco: 132, presión arterial: 159, dispositivo: 87333549
[24/03/2022 17:01:16]: Joshua Davis... ssn: 857-90-7947, edad: 80, temperatura: 34.3, ritmo cardiaco: 130, presión arterial: 132, dispositivo: 87333549
[24/03/2022 17:01:19]: Joshua Davis... ssn: 857-90-7947, edad: 80, temperatura: 33.3, ritmo cardiaco: 76, presión arterial: 122, dispositivo: 87333549
[24/03/2022 17:01:22]: Joshua Davis... ssn: 857-90-7947, edad: 80, temperatura: 37.4, ritmo cardiaco: 64, presión arterial: 141, dispositivo: 87333549
[24/03/2022 17:01:25]: Joshua Davis... ssn: 857-90-7947, edad: 80, temperatura: 37.7, ritmo cardiaco: 123, presión arterial: 103, dispositivo: 87333549
[24/03/2022 17:01:28]: Joshua Davis... ssn: 857-90-7947, edad: 80, temperatura: 36.6, ritmo cardiaco: 150, presión arterial: 171, dispositivo: 87333549
[24/03/2022 17:01:32]: Joshua Davis... ssn: 857-90-7947, edad: 80, temperatura: 34.5, ritmo cardiaco: 133, presión arterial: 168, dispositivo: 87333549
[24/03/2022 17:01:35]: Joshua Davis... ssn: 857-90-7947, edad: 80, temperatura: 38.4, ritmo cardiaco: 137, presión arterial: 108, dispositivo: 87333549
[24/03/2022 17:01:38]: Joshua Davis... ssn: 857-90-7947, edad: 80, temperatura: 37.8, ritmo cardiaco: 87, presión arterial: 187, dispositivo: 87333549
[24/03/2022 17:01:41]: Joshua Davis... ssn: 857-90-7947, edad: 80, temperatura: 33.9, ritmo cardiaco: 85, presión arterial: 126, dispositivo: 87333549
[24/03/2022 17:01:44]: Joshua Davis... ssn: 857-90-7947, edad: 80, temperatura: 34.3, ritmo cardiaco: 111, presión arterial: 178, dispositivo: 87333549
[24/03/2022 17:01:47]: Joshua Davis... ssn: 857-90-7947, edad: 80, temperatura: 35.3, ritmo cardiaco: 89, presión arterial: 188, dispositivo: 87333549
[24/03/2022 17:01:50]: Joshua Davis... ssn: 857-90-7947, edad: 80, temperatura: 38.2, ritmo cardiaco: 142, presión arterial: 103, dispositivo: 87333549
[24/03/2022 17:01:54]: Joshua Davis... ssn: 857-90-7947, edad: 80, temperatura: 38.9, ritmo cardiaco: 73, presión arterial: 185, dispositivo: 87333549
[24/03/2022 17:01:57]: Joshua Davis... ssn: 857-90-7947, edad: 80, temperatura: 37.8, ritmo cardiaco: 136, presión arterial: 179, dispositivo: 87333549
[24/03/2022 17:02:00]: Joshua Davis... ssn: 857-90-7947, edad: 80, temperatura: 34.5, ritmo cardiaco: 99, presión arterial: 180, dispositivo: 87333549
